id,text,original_dialect,original_sarcasm,gender,annotator_mother_dialect,annotator_known_dialects,dialect,sarcasm
9,بس انا لسه بحبك..,nile,0,male,nile,nile,nile,0
9,بس انا لسه بحبك..,nile,0,female,levant,"levant
nile
msa",nile,0
9,بس انا لسه بحبك..,nile,0,female,levant,"levant
nile
msa",nile,0
9,بس انا لسه بحبك..,nile,0,male,nile,"gulf
nile
msa",nile,0
9,بس انا لسه بحبك..,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
10,الناس صابوني بالعين 💔,msa,0,male,nile,"gulf
nile
msa",nile,0
10,الناس صابوني بالعين 💔,msa,0,male,magreb,"nile
magreb
msa",gulf,1
10,الناس صابوني بالعين 💔,msa,0,female,levant,"levant
nile
msa",levant,0
10,الناس صابوني بالعين 💔,msa,0,female,nile,"nile
msa",nile,0
10,الناس صابوني بالعين 💔,msa,0,male,magreb,"magreb
msa",magreb,1
11,سامحنى ياسيدى مغلطش فى البخارى,nile,1,male,nile,"gulf
nile
msa",nile,1
11,سامحنى ياسيدى مغلطش فى البخارى,nile,1,female,nile,"nile
msa",nile,1
11,سامحنى ياسيدى مغلطش فى البخارى,nile,1,female,levant,"levant
nile
msa",nile,1
11,سامحنى ياسيدى مغلطش فى البخارى,nile,1,female,levant,"levant
gulf
nile
msa",magreb,0
11,سامحنى ياسيدى مغلطش فى البخارى,nile,1,male,magreb,"levant
gulf
nile
magreb
msa",nile,0
12,جدآ اكره الرد المتأخر .,nile,0,male,nile,nile,nile,0
12,جدآ اكره الرد المتأخر .,nile,0,female,levant,"levant
gulf
nile
msa",gulf,1
12,جدآ اكره الرد المتأخر .,nile,0,female,levant,"levant
nile
msa",levant,0
12,جدآ اكره الرد المتأخر .,nile,0,female,levant,"levant
nile
msa",msa,0
12,جدآ اكره الرد المتأخر .,nile,0,male,nile,nile,nile,0
13,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
13,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,female,levant,"levant
nile
msa",nile,0
13,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,female,levant,"levant
nile
msa",nile,0
13,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,male,nile,nile,nile,0
13,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,male,nile,"gulf
nile
msa",nile,0
14,رغبة عارمة بالانتقام 🤭 😂,msa,0,female,levant,"levant
nile
msa",msa,0
14,رغبة عارمة بالانتقام 🤭 😂,msa,0,male,magreb,"magreb
msa",msa,0
14,رغبة عارمة بالانتقام 🤭 😂,msa,0,male,gulf,"levant
gulf
nile
magreb
msa",msa,1
14,رغبة عارمة بالانتقام 🤭 😂,msa,0,male,nile,nile,nile,0
14,رغبة عارمة بالانتقام 🤭 😂,msa,0,male,nile,"gulf
nile
msa",nile,0
15,ينسي ايه,nile,0,male,nile,"levant
gulf
nile
msa",nile,0
15,ينسي ايه,nile,0,male,nile,nile,nile,0
15,ينسي ايه,nile,0,female,levant,"levant
nile
msa",nile,0
15,ينسي ايه,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
15,ينسي ايه,nile,0,male,magreb,"levant
gulf
nile
magreb
msa",nile,0
16,ما يفرشون اسنانهم الا بصعوبة,gulf,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,1
16,ما يفرشون اسنانهم الا بصعوبة,gulf,0,female,levant,"levant
nile
msa",gulf,1
16,ما يفرشون اسنانهم الا بصعوبة,gulf,0,male,magreb,"magreb
msa",gulf,1
16,ما يفرشون اسنانهم الا بصعوبة,gulf,0,male,nile,nile,msa,0
16,ما يفرشون اسنانهم الا بصعوبة,gulf,0,male,nile,"gulf
nile
msa",gulf,0
17,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,male,gulf,"levant
gulf
nile
magreb
msa",msa,0
17,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,male,magreb,"magreb
msa",msa,0
17,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
17,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,male,nile,nile,nile,0
17,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,male,nile,nile,msa,0
18,يا سلام عليك يا مازن 💚 💚 💚,nile,0,male,nile,"levant
gulf
nile
msa",nile,0
18,يا سلام عليك يا مازن 💚 💚 💚,nile,0,male,nile,nile,nile,0
18,يا سلام عليك يا مازن 💚 💚 💚,nile,0,female,levant,"levant
nile
msa",levant,0
18,يا سلام عليك يا مازن 💚 💚 💚,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
18,يا سلام عليك يا مازن 💚 💚 💚,nile,0,female,levant,"levant
nile
msa",nile,0
19,اى ان من تربي فى وسط غبي لن يكون لا غبي,nile,0,male,nile,nile,msa,0
19,اى ان من تربي فى وسط غبي لن يكون لا غبي,nile,0,female,levant,"levant
nile
msa",levant,0
19,اى ان من تربي فى وسط غبي لن يكون لا غبي,nile,0,female,levant,"levant
gulf
nile
msa",msa,0
19,اى ان من تربي فى وسط غبي لن يكون لا غبي,nile,0,male,magreb,"levant
gulf
nile
magreb
msa",gulf,1
19,اى ان من تربي فى وسط غبي لن يكون لا غبي,nile,0,male,nile,nile,nile,0
20,لا تعيره إهتمام,nile,0,male,gulf,"levant
gulf
nile
magreb
msa",msa,0
20,لا تعيره إهتمام,nile,0,male,magreb,"magreb
msa",msa,0
20,لا تعيره إهتمام,nile,0,female,levant,"levant
gulf
nile
msa",msa,0
20,لا تعيره إهتمام,nile,0,male,nile,"gulf
nile
msa",msa,0
20,لا تعيره إهتمام,nile,0,male,nile,nile,msa,0
21,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,levant,0,male,magreb,"levant
gulf
nile
magreb
msa",magreb,0
21,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,levant,0,male,nile,"nile
msa",msa,1
21,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,levant,0,male,nile,"nile
msa",gulf,1
21,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,levant,0,male,magreb,"magreb
msa",nile,1
21,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,levant,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
22,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,msa,0,male,nile,nile,nile,0
22,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,msa,0,male,nile,nile,msa,0
22,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,msa,0,male,magreb,"levant
gulf
nile
magreb
msa",gulf,0
22,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,msa,0,female,levant,"levant
gulf
nile
msa",magreb,0
22,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,msa,0,female,levant,"levant
nile
msa",gulf,0
23,ما اثقل دمك حتى بالنكت,levant,0,male,magreb,"magreb
msa",gulf,1
23,ما اثقل دمك حتى بالنكت,levant,0,male,magreb,"nile
magreb
msa",gulf,1
23,ما اثقل دمك حتى بالنكت,levant,0,male,nile,"gulf
nile
msa",gulf,0
23,ما اثقل دمك حتى بالنكت,levant,0,male,nile,nile,msa,1
23,ما اثقل دمك حتى بالنكت,levant,0,female,levant,"levant
nile
msa",levant,0
24,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,male,nile,nile,msa,0
24,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,male,nile,nile,msa,0
24,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,male,magreb,"magreb
msa",gulf,0
24,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,male,magreb,"nile
magreb
msa",msa,0
24,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,female,levant,"levant
nile
msa",msa,0
25,ليت اكون شخص ما يفكر كثيرر,levant,0,female,levant,"levant
gulf
nile
msa",magreb,0
25,ليت اكون شخص ما يفكر كثيرر,levant,0,female,levant,"levant
nile
msa",levant,0
25,ليت اكون شخص ما يفكر كثيرر,levant,0,male,nile,nile,nile,0
25,ليت اكون شخص ما يفكر كثيرر,levant,0,male,nile,nile,nile,0
25,ليت اكون شخص ما يفكر كثيرر,levant,0,female,levant,"levant
nile
msa",gulf,0
26,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,female,levant,"levant
nile
msa",msa,0
26,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,male,magreb,"magreb
msa",msa,0
26,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,male,nile,nile,nile,0
26,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,male,nile,nile,nile,0
26,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,male,gulf,"levant
gulf
nile
magreb
msa",msa,0
27,طيف تاجرا.سي وفخر.ي,nile,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
27,طيف تاجرا.سي وفخر.ي,nile,0,male,magreb,"magreb
msa",msa,1
27,طيف تاجرا.سي وفخر.ي,nile,0,male,nile,nile,nile,0
27,طيف تاجرا.سي وفخر.ي,nile,0,male,nile,nile,nile,0
27,طيف تاجرا.سي وفخر.ي,nile,0,male,magreb,"levant
gulf
nile
magreb
msa",gulf,0
28,تجاوزت كونك شخص انت رُوحي,msa,0,male,nile,nile,nile,0
28,تجاوزت كونك شخص انت رُوحي,msa,0,male,nile,nile,nile,0
28,تجاوزت كونك شخص انت رُوحي,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
28,تجاوزت كونك شخص انت رُوحي,msa,0,female,levant,"levant
nile
msa",msa,0
28,تجاوزت كونك شخص انت رُوحي,msa,0,male,magreb,"levant
gulf
nile
magreb
msa",msa,0
29,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,female,levant,"levant
nile
msa",nile,1
29,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,male,nile,nile,nile,0
29,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,male,magreb,"levant
gulf
nile
magreb
msa",nile,1
29,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,female,levant,"levant
gulf
nile
msa",nile,0
29,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,male,nile,nile,nile,1
30,ترى اكره اقعد لحالي,gulf,0,male,nile,"levant
gulf
nile
msa",gulf,0
30,ترى اكره اقعد لحالي,gulf,0,female,levant,"levant
nile
msa",gulf,0
30,ترى اكره اقعد لحالي,gulf,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
30,ترى اكره اقعد لحالي,gulf,0,male,nile,nile,nile,0
30,ترى اكره اقعد لحالي,gulf,0,male,magreb,"magreb
msa",levant,0
31,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,female,levant,"levant
nile
msa",nile,1
31,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,female,levant,"levant
nile
msa",nile,1
31,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,female,levant,"levant
gulf
nile
msa",nile,1
31,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,male,nile,nile,nile,1
31,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,male,nile,nile,nile,1
32,ياعم ارحمنا فين دااينج !!,nile,0,male,magreb,"magreb
msa",nile,1
32,ياعم ارحمنا فين دااينج !!,nile,0,female,levant,"levant
nile
msa",nile,0
32,ياعم ارحمنا فين دااينج !!,nile,0,male,nile,nile,nile,0
32,ياعم ارحمنا فين دااينج !!,nile,0,male,nile,nile,nile,0
32,ياعم ارحمنا فين دااينج !!,nile,0,male,gulf,"levant
gulf
nile
magreb
msa",nile,0
33,ليتني مثلك ما احس وما احن و ما انتظر .,gulf,0,male,nile,nile,nile,0
33,ليتني مثلك ما احس وما احن و ما انتظر .,gulf,0,male,magreb,"nile
magreb
msa",levant,1
33,ليتني مثلك ما احس وما احن و ما انتظر .,gulf,0,female,levant,"levant
nile
msa",nile,0
33,ليتني مثلك ما احس وما احن و ما انتظر .,gulf,0,male,nile,nile,nile,0
33,ليتني مثلك ما احس وما احن و ما انتظر .,gulf,0,male,magreb,"magreb
msa",gulf,0
34,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,levant,0,female,levant,"levant
gulf
nile
msa",gulf,0
34,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,levant,0,male,magreb,"nile
magreb
msa",gulf,0
34,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,levant,0,male,magreb,"magreb
msa",nile,0
34,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,levant,0,male,nile,"gulf
nile
msa",gulf,0
34,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,levant,0,male,nile,nile,nile,0
35,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,male,magreb,"levant
gulf
nile
magreb
msa",nile,0
35,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,male,nile,nile,nile,1
35,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,male,nile,nile,nile,0
35,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
35,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,female,levant,"levant
nile
msa",msa,0
36,انت فكرون مريض,magreb,1,male,nile,nile,nile,0
36,انت فكرون مريض,magreb,1,male,nile,nile,gulf,1
36,انت فكرون مريض,magreb,1,male,gulf,"levant
gulf
nile
magreb
msa",levant,0
36,انت فكرون مريض,magreb,1,male,magreb,"magreb
msa",magreb,1
36,انت فكرون مريض,magreb,1,female,levant,"levant
nile
msa",magreb,0
37,"♪( ◜௰◝و(و """,msa,0,male,nile,"gulf
nile
msa",nile,0
37,"♪( ◜௰◝و(و """,msa,0,male,nile,"nile
msa",msa,0
37,"♪( ◜௰◝و(و """,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
37,"♪( ◜௰◝و(و """,msa,0,female,levant,"levant
nile
msa",msa,0
37,"♪( ◜௰◝و(و """,msa,0,female,levant,"levant
nile
msa",msa,0
38,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,male,magreb,"magreb
msa",msa,0
38,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,male,magreb,"nile
magreb
msa",msa,0
38,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,male,nile,nile,nile,0
38,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,female,levant,"levant
nile
msa",msa,0
38,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,female,nile,"nile
msa",nile,0
39,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,female,levant,"levant
gulf
nile
msa",msa,0
39,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,male,nile,nile,nile,0
39,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,male,nile,nile,nile,0
39,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,female,levant,"levant
nile
msa",msa,0
39,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,male,magreb,"levant
gulf
nile
magreb
msa",msa,0
40,نفس الواحد هفت علي شورما ابو حيدر,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
40,نفس الواحد هفت علي شورما ابو حيدر,nile,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
40,نفس الواحد هفت علي شورما ابو حيدر,nile,0,male,magreb,"magreb
msa",gulf,1
40,نفس الواحد هفت علي شورما ابو حيدر,nile,0,male,nile,nile,nile,0
40,نفس الواحد هفت علي شورما ابو حيدر,nile,0,male,nile,"levant
gulf
nile
msa",nile,0
41,اسيست الظاهره 💛,msa,0,female,levant,"levant
nile
msa",msa,0
41,اسيست الظاهره 💛,msa,0,male,nile,nile,nile,0
41,اسيست الظاهره 💛,msa,0,female,nile,"nile
msa",nile,0
41,اسيست الظاهره 💛,msa,0,female,levant,"levant
gulf
nile
msa",levant,0
41,اسيست الظاهره 💛,msa,0,female,levant,"levant
nile
msa",magreb,0
42,حظي ولا مرة قعد.,nile,0,male,nile,"gulf
nile
msa",gulf,0
42,حظي ولا مرة قعد.,nile,0,male,nile,nile,nile,0
42,حظي ولا مرة قعد.,nile,0,female,levant,"levant
gulf
nile
msa",gulf,0
42,حظي ولا مرة قعد.,nile,0,male,magreb,"magreb
msa",magreb,1
42,حظي ولا مرة قعد.,nile,0,female,levant,"levant
nile
msa",nile,0
43,كافي لاتجرح بقلبي,levant,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
43,كافي لاتجرح بقلبي,levant,0,male,magreb,"magreb
msa",msa,0
43,كافي لاتجرح بقلبي,levant,0,male,nile,"levant
gulf
nile
msa",gulf,0
43,كافي لاتجرح بقلبي,levant,0,female,nile,"nile
msa",gulf,0
43,كافي لاتجرح بقلبي,levant,0,female,levant,"levant
gulf
nile
msa",gulf,0
44,مِنْ زِيْنَكُم؟؟,gulf,1,male,magreb,"magreb
msa",msa,0
44,مِنْ زِيْنَكُم؟؟,gulf,1,female,levant,"levant
gulf
nile
msa",msa,0
44,مِنْ زِيْنَكُم؟؟,gulf,1,male,nile,"gulf
nile
msa",gulf,0
44,مِنْ زِيْنَكُم؟؟,gulf,1,male,nile,nile,msa,0
44,مِنْ زِيْنَكُم؟؟,gulf,1,male,gulf,"levant
gulf
nile
magreb
msa",gulf,1
45,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,gulf,1,female,levant,"levant
nile
msa",levant,1
45,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,gulf,1,male,nile,nile,gulf,0
45,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,gulf,1,male,nile,nile,nile,0
45,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,gulf,1,female,levant,"levant
gulf
nile
msa",levant,1
45,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,gulf,1,male,magreb,"levant
gulf
nile
magreb
msa",gulf,1
46,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,msa,0,female,levant,"levant
nile
msa",levant,0
46,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,msa,0,male,nile,"gulf
nile
msa",msa,0
46,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,msa,0,male,nile,nile,nile,0
46,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
46,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,msa,0,female,levant,"levant
nile
msa",levant,0
47,امطرت مدينتي 💕 .,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
47,امطرت مدينتي 💕 .,msa,0,female,levant,"levant
nile
msa",msa,0
47,امطرت مدينتي 💕 .,msa,0,female,levant,"levant
nile
msa",msa,0
47,امطرت مدينتي 💕 .,msa,0,male,nile,nile,nile,0
47,امطرت مدينتي 💕 .,msa,0,male,nile,nile,msa,0
48,دمه تقيل قوى,nile,0,female,levant,"levant
nile
msa",nile,1
48,دمه تقيل قوى,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
48,دمه تقيل قوى,nile,0,male,nile,nile,nile,1
48,دمه تقيل قوى,nile,0,female,nile,"nile
msa",nile,1
48,دمه تقيل قوى,nile,0,female,levant,"levant
nile
msa",nile,0
49,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,male,nile,nile,nile,0
49,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,female,levant,"levant
nile
msa",msa,0
49,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
49,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,male,magreb,"nile
magreb
msa",msa,0
49,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,male,nile,nile,msa,0
50,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,msa,0,male,nile,nile,nile,1
50,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,msa,0,male,nile,"levant
gulf
nile
msa",nile,0
50,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,msa,0,female,levant,"levant
nile
msa",levant,0
50,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,msa,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,1
50,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,msa,0,male,magreb,"magreb
msa",msa,1
51,عشر اصهرة ع باب داري ولا كنة تكشف اسراري,nile,1,female,nile,"nile
msa",levant,1
51,عشر اصهرة ع باب داري ولا كنة تكشف اسراري,nile,1,male,magreb,"magreb
msa",magreb,1
51,عشر اصهرة ع باب داري ولا كنة تكشف اسراري,nile,1,male,gulf,"levant
gulf
nile
magreb
msa",levant,1
